# of invocations,openwhisk,nanos,changes
1,23.344024181365967,21.937188863754272,6.413015479554622
2,24.070011138916016,21.368854761123657,12.640623037536717
3,37.202208042144775,21.623095273971558,72.04848598584458
4,32.33464789390564,21.768510818481445,48.53863070161673
5,56.78205895423889,22.345155000686646,154.11351567037255
6,30.42311716079712,22.509934902191162,35.15417655799472
7,39.85276198387146,22.87564492225647,74.21481282522178
8,67.35533785820007,23.944701194763184,181.29537850708698
9,48.23431086540222,23.769655227661133,102.92389773189126
10,47.65220284461975,24.314514875411987,95.98253590001897
11,47.81879711151123,24.625535011291504,94.18378967029533
12,48.54212999343872,24.885159254074097,95.06457442297301
13,49.099822759628296,25.216987133026123,94.7093144022878
14,48.28164720535278,25.637887001037598,88.32147596016304
15,51.928024768829346,26.917718648910522,92.91391460817984
16,48.32428216934204,30.163866996765137,60.20585879961771
